name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
Till There Was You (take 4),['Sonny Rollins'],300960.0,0.933,0.552,0.0449,0.276,0.0908,-14.888,0.096,91.339,0.407,1,3,11,0,1958-01-01,moderato,long
"My Man - Live At The Newport Jazz Festival,1957",['Billie Holiday'],208680.0,0.937,0.443,0.169,2.98E-6,0.697,-14.841,0.059,110.752,0.208,1,7,12,0,1958-01-01,moderato,medium
April Love,['Roger Williams'],223013.0,0.901,0.224,0.244,0.728,0.177,-15.885,0.032,85.757,0.206,1,7,16,0,1958-01-01,lento,medium
Chi I'ha richiesto?....Vediam (Colline/Schaunard/Rodolfo/Ragazzi/Marcello/Coro/Musetta) - 1997 Remastered Version,"['Giacomo Puccini', 'Nicola Zaccaria', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala, Milano']",141573.0,0.952,0.654,0.545,0.18,0.332,-14.312,0.233,119.869,0.275,1,3,16,0,1958-01-01,moderato,short
Lazy,"['Ella Fitzgerald', 'Paul Weston And His Orchestra']",159920.0,0.869,0.595,0.173,0.0,0.34,-13.169,0.0363,112.97,0.492,1,10,12,0,1958-01-01,moderato,short
O Torrado Da Lili,['Luiz Gonzaga'],167227.0,0.708,0.705,0.608,0.0,0.194,-9.594,0.0365,99.052,0.911,1,2,14,0,1958-09-16,moderato,short
Slumming On Park Avenue,"['Ella Fitzgerald', 'Paul Weston And His Orchestra']",144960.0,0.936,0.608,0.18,0.0,0.102,-14.175,0.0571,125.986,0.482,1,7,12,0,1958-01-01,presto,short
A Lover Like You,['Beverly Kenney'],207947.0,0.988,0.379,0.1,0.00728,0.111,-14.925,0.0324,95.136,0.301,1,8,7,0,1958-01-01,moderato,medium
Home,['Louis Armstrong'],352493.0,0.565,0.351,0.132,0.0,0.272,-18.266,0.0496,81.862,0.329,1,3,13,0,1958-11-01,lento,long
Fichas Negras,"['Leo Marini', 'La Sonora Matancera']",147067.0,0.853,0.607,0.255,6.57E-6,0.075,-10.94,0.0442,115.52,0.361,0,2,17,0,1958-01-01,moderato,short
Little China Doll,['Martin Denny'],161213.0,0.482,0.51,0.242,0.0,0.237,-16.246,0.0325,114.266,0.339,0,5,8,0,1958-01-01,moderato,short
Hot Toddy - Remastered 1992,['Julie London'],110880.0,0.878,0.678,0.0695,2.58E-4,0.11,-16.546,0.0563,135.7,0.449,1,8,14,0,1958-01-01,presto,short
I've Told Ev'ry Little Star,['Sonny Rollins'],322667.0,0.587,0.697,0.134,0.557,0.115,-22.285,0.0533,98.974,0.632,0,0,10,0,1958-01-01,moderato,long
For All We Know,['Billie Holiday'],173493.0,0.94,0.225,0.303,0.00287,0.11,-11.64,0.0324,86.614,0.121,1,10,13,0,1958-01-01,lento,short
Ghadi Ghadi Mera Dil Dhadke,['Lata Mangeshkar'],192533.0,0.649,0.56,0.527,0.0,0.257,-11.464,0.0752,133.44,0.958,1,7,10,0,1958-03-14,presto,medium
En Mis Sueños,"['Sylvia Rexach', 'Tuti Umpierre']",104025.0,0.899,0.55,0.107,0.0,0.116,-11.219,0.0567,87.61,0.273,1,4,7,0,1958-06-01,lento,short
"Mr. Touchdown, U.S.A.",['Percy Faith & His Orchestra & Chorus'],81000.0,0.637,0.696,0.716,0.0,0.833,-11.077,0.0401,133.315,0.975,1,2,10,0,1958-09-24,presto,short
Clean-o,['Woody Guthrie'],181173.0,0.982,0.524,0.129,0.00226,0.109,-17.328,0.051,111.177,0.319,1,2,8,0,1958-01-01,moderato,medium
Gone With The Wind - 1958 Mono Mix,['Frank Sinatra'],310570.0,0.863,0.108,0.168,0.00214,0.0953,-15.736,0.0363,74.526,0.0488,1,0,10,0,1958-01-01,lento,long
"Piano Sonata No. 4 in E-Flat Major, K. 282: III. Allegro","['Wolfgang Amadeus Mozart', 'Glenn Gould']",72693.0,0.974,0.392,0.263,0.845,0.152,-22.045,0.038,86.526,0.84,1,3,13,0,1958-01-01,lento,short
Holiday for Strings - Live,"['Louis Prima', 'Sam Butera & The Witnesses']",177447.0,0.867,0.495,0.513,0.661,0.771,-15.232,0.0913,189.932,0.786,1,2,12,0,1958-05-01,presto,short
Sweet Sapphire Blues,['John Coltrane'],1094400.0,0.813,0.429,0.321,0.00209,0.156,-17.718,0.0892,194.426,0.717,0,5,7,0,1958-01-01,presto,long
Sunday Mornin',['Coleman Hawkins'],390173.0,0.537,0.5,0.474,0.0275,0.346,-13.42,0.0391,98.283,0.754,1,1,12,0,1958-01-01,moderato,long
Mimì?!...Speravo di trovarvi qui (Marcello/Mimì) - 1997 Remastered Version,"['Giacomo Puccini', 'Rolando Panerai', 'Antonino Votto']",287600.0,0.983,0.265,0.0891,0.00875,0.104,-15.575,0.0418,78.537,0.0881,1,5,16,0,1958-01-01,lento,medium
Matiz de Amor,"['Sylvia Rexach', 'Tuti Umpierre']",126317.0,0.985,0.489,0.0539,0.0,0.199,-13.243,0.038,88.979,0.265,1,2,7,0,1958-06-01,lento,short
In the Arms of Love,['Henry Mancini'],156267.0,0.897,0.389,0.463,1.1E-6,0.203,-10.338,0.0307,99.235,0.331,1,0,7,0,1958-01-01,moderato,short
Suffering With The Blues,['Little Willie John'],154053.0,0.768,0.295,0.341,6.45E-5,0.119,-8.462,0.0321,88.381,0.247,1,5,10,0,1958-01-01,lento,short
Deep River,['Johnny Mathis'],171813.0,0.938,0.241,0.271,0.694,0.111,-13.7,0.0356,92.685,0.107,1,2,11,0,1958-01-01,moderato,short
"Piano Sonata No. 6 in D Major, K. 284: III. Theme and Variations","['Wolfgang Amadeus Mozart', 'Glenn Gould']",926413.0,0.98,0.295,0.115,0.897,0.132,-23.416,0.0413,90.296,0.429,1,2,13,0,1958-01-01,moderato,long
